Month,Mean_Return,Min_Return,Max_Return,Volatility,Ticker,Month_Num,Year,Volatility_Level,Prev_Month_Return,momentum_rsi,trend_macd,volatility_bbm,trend_ema_fast
2025-01-01,0.0038918587183882,-0.0419560122262782,0.0310555744346534,0.0171764312933659,GOOGL,1,2025,Low,0.0057269813262569,58.19762810505891,3.381334649328481,192.53849212646486,193.26936399086952
2025-02-01,-0.0092465779908853,-0.0729237178955275,0.0255926717184515,0.0213898861113642,GOOGL,2,2025,Medium,0.0038918587183882,41.506907191260154,-1.2228343858242,192.62733664261668,189.55374966732057
2025-03-01,-0.0042874251236974,-0.0487549518878848,0.0234117741326471,0.0221000481456169,GOOGL,3,2025,Medium,-0.0092465779908853,36.972441771867366,-5.449357226022961,172.76972757975258,169.41850366173952
2025-04-01,0.0016992533348513,-0.0402444748829963,0.0968210785148546,0.030584101452794,GOOGL,4,2025,Medium,-0.0042874251236974,42.87768740560639,-4.30249272003829,157.6733924502418,155.9673845235432
2024-05-01,-0.0006284130379151,-0.0160607002296476,0.0319553140821404,0.0110080841782047,AMZN,5,2024,Low,,52.58064876295448,1.25534916943243,182.85943208174274,183.46754283950702
2024-06-01,0.0049130132935727,-0.0232499669527879,0.0390147279990187,0.0154089517403339,AMZN,6,2024,Low,-0.0006284130379151,55.41411374727624,0.5969801569450734,183.29113191303455,183.92591714771487
2024-07-01,-0.0013781571211731,-0.0299340256500886,0.0290021948101644,0.0158397389092149,AMZN,7,2024,Low,0.0049130132935727,50.7120514566448,1.4068033044415464,191.37904555580835,191.2688026772018
2024-08-01,-0.0017596751047614,-0.0878470841762542,0.044032862819634,0.0266249633759472,AMZN,8,2024,Medium,-0.0013781571211731,42.23217178727619,-3.66149797684559,177.13647814663975,174.99358263784723
2024-09-01,0.0022898760059477,-0.0365394346073523,0.0276803182190448,0.0172250729758706,AMZN,9,2024,Low,-0.0017596751047614,57.572979541814334,1.6967828749572405,178.38350017547606,181.21036656502736
2024-10-01,0.0001186783214721,-0.0328438850795356,0.0250054277043616,0.0145634124182299,AMZN,10,2024,Low,0.0022898760059477,52.794037185777505,1.2769260409155043,186.88593580826472,186.7964298719359
2024-11-01,0.0057325169112774,-0.0419424782314408,0.0618562186525604,0.0236053225932516,AMZN,11,2024,Medium,0.0001186783214721,60.9653234519064,4.220367210360296,196.65289958953858,200.18802905880426
2024-12-01,0.0027128652660513,-0.0459874103599754,0.0293810729443444,0.0174362198794092,AMZN,12,2024,Low,0.0057325169112774,63.932624279391554,6.162132708050787,214.84497633434478,218.96940188972548
2025-01-01,0.0041028135273886,-0.0241641403508254,0.0256705167968958,0.0138659222695526,AMZN,1,2025,Low,0.0027128652660513,57.567390833848,2.7803362091889197,224.94630073547364,225.45384788503276
2025-02-01,-0.0057906770401692,-0.040530954487945,0.0195434227336934,0.0171179209822572,AMZN,2,2025,Low,0.0041028135273886,46.19462196645463,0.8548803453263675,231.3506307903089,229.95804886099486
2025-03-01,-0.0049859199772273,-0.0429082209150741,0.0359308269289737,0.021212000646606,AMZN,3,2025,Medium,-0.0057906770401692,35.6466963313763,-6.7456918413684654,209.06392894926526,203.98094034123508
